English,Transliteration,Hebrew
in the units / in the squads,bayekhidot,ביחידות
openly,begalui,בגלוי
public,tsiburi,ציבורי
were required,nidreshu,נדרשו
the founder,meyased,מייסד
verbally / literally,milulit,מילולית
from a line / from the line of,mikav,מקו
districts,mekhozot,מחוזות
political (f.s.),medinit,מדינית
cargoes / luggage / load,mit'anim,מטענים
according to him/it,lefiv,לפיו
and to create / and to make,velitsor,וליצור
and some of them / and their part / and their share,vekhelkam,וחלקם
that/who went up / that/who climbed / that/who increased / that/who immigrated (f.s.),she'alta,שעלתה
former / previous (f.pl),kodmot,קודמות
the terrorist acts of,pigu'ei,פיגועי
double / multiple,kfula,כפולה
the total (m.s.),hamukhlat,המוחלט
the response,hatguva,התגובה
the prince,hanasikh,הנסיך
his grandfather,savo,סבו
encircled / rotate (pl.),savu,סבו
were discovered,nitgalu,נתגלו
were destroyed / were demolished,nehersu,נהרסו
are described (m.pl.),meto'arim,מתוארים
installations of / devices of,mitkanei,מתקני
applicants / candidates / nominees (m.pl.),mu'amadim,מועמדים
covered (m.pl.),mekhusim,מכוסים
from the city,meha'ir,מהעיר
tunnel,minhara,מנהרה
in order not,levilti,לבלתי
industry of,ta'asiyat,תעשיית
and the houses of / and the homes of,uvatei,ובתי
messengers / delegates / couriers,shlikhim,שליחים
who won / who attained (pl.),shezakhu,שזכו
tied / linked / connected (m.pl.),kshurim,קשורים
communities,kehilot,קהילות
pages of / pillars of,amudei,עמודי
characteristic (f.s.),ofyanit,אופיינית
thinking,khashiva,חשיבה
strong (f.pl.) / powers (math.),khazakot,חזקות
as a home,kevayit,כבית
the early / the preliminary (f.s.),hamukdemet,המוקדמת
the known / the familiar,hamukar,המוכר
the seller / the salesman,hamokher,המוכר
that effect / that influence (m.pl.),hamashpi'im,המשפיעים
the mode / the manner / the way,ha'ofen,האופן
the wheel,ha'ofan,האופן
the title,hakoteret,הכותרת
the proposal / the suggestion / the offer,hahatsa'a,ההצעה
the end,hasiyum,הסיום
the rotation / the revolution,hasivuv,הסיבוב
the rivers,haneharot,הנהרות
the inclination / the tendency / the tilt,hanetiya,הנטייה
generations,dorot,דורות
in a valley,be'emek,בעמק
in the valley,ba'emek,בעמק
tropical (m.s.),tropi,טרופי
love affair / novel,roman,רומן
density / crowding,tsfifut,צפיפות
satisfied / supplies (m.s.),sipek,סיפק
drug,sam,סם
/ was forbidden / was imprisoned (m.s.),ne'esar,נאסר
from a heart / from the heart of,milev,מלב
the rabbinical,harabani,הרבני
abyssal / deep / bottomless,tehomi,תהומי
sky,shkhakim,שחקים
the boulevards,hasderot,השדרות
in pogroms / in riots,bifra'ot,בפרעות
in the pogroms / in the riots,bapra'ot,בפרעות
young goat / Capricorn,gdi,גדי
closing of,sgirat,סגירת
the people who perform [X],mevats'ei,מבצעי
events,me'ora'ot,מאורעות
the tunnels,haminharot,המנהרות
ancient / old (f.pl.) / antiquities,atikot,עתיקות
his friends,khaverav,חבריו
the residence / the stimulated (m.pl.),hamegurim,המגורים
drinks,mashka'ot,משקאות
springs,ma'ayanot,מעיינות
association,hit'akhadut,התאחדות
authorities,rashuyot,רשויות
pipes,tsinorot,צינורות
represents (m.s.),meyatseg,מייצג
concepts / obtained / achieved (m.pl.),musagim,מושגים
to/for civilization / to/for culture,letarbut,לתרבות
to/for the civilization / to/for the culture,latarbut,לתרבות
to survive,lisrod,לשרוד
cell,ta,תא
group of (mil.) / division of (family),palgat,פלגת
their body,gufam,גופם
in fields / in areas / in ranges,bitkhumim,בתחומים
in the fields / in the areas / in the ranges,batkhumim,בתחומים
post factum,bedi'avad,בדיעבד
try (m.pl.),menasim,מנסים
known (f.pl.),yedu'ot,ידועות
the conservation,hashimur,השימור
that/who is tied / that/who is linked / that/who is connected (m.s.),hakashur,הקשור
at the poll / in the polling booth,bakalpi,בקלפי
liberalism,liberaliyut,ליברליות
liberal (f.pl.),liberaliyot,ליברליות
teacher,more,מורה
stable (f.s.),yatsiva,יציבה
the theory of,te'oryat,תאוריית
affinity / linkage / disposition,zika,זיקה
to/for a title / to/for a degree / to/for an adjective / to/for an appearance / to/for a shape,leto'ar,לתואר
to/for the title / to/for the degree / to/for the adjective / to/for the appearance / to/for the shape,lato'ar,לתואר
the distribution of,tfutsat,תפוצת
artistic (m.s.) / my art,omanuti,אמנותי
the football / the soccer,hakaduregel,הכדורגל
capital,bira,בירה
beer,bira,בירה
volume,nefakh,נפח
blacksmith,napakh,נפח
the madness / the insanity,hashiga'on,השיגעון
the care giver / treats / handles (m.s.),metapel,מטפל
directors,bama'im,במאים
pronunciation,hagiya,הגייה
his parents,horav,הוריו
to a palace / to a temple,leheykhal,להיכל
to the palace / to the temple,laheykhal,להיכל
film strip,sirton,סרטון
player (of music),nagan,נגן
play (music) (m.s. imperative),nagen,נגן
return / giving back,hakhzara,החזרה
the repetition / the rehearsal,hakhazara,החזרה
the poem,hapo'ema,הפואמה
for youth / for the youth of,leno'ar,לנוער
for the youth,leno'ar,לנוער
the phenomena,hatofa'ot,התופעות
the similar (m.pl.),hadomim,הדומים
rides (m.s.),rokhev,רוכב
the hydrogen,hameiman,המימן
the bacteria,hakhaydakim,החיידקים
the basketball,hakadursal,הכדורסל
glucose,glukoz,גלוקוז
reciprocal / mutual,gomlin,גומלין
by/with the lance,baromakh,ברומח
by/with a lance,beromakh,ברומח
spear / lance,romakh,רומח
rotations / revolutions / whirls,sivuvim,סיבובים
to/for a competition,letakharut,לתחרות
to/for the competition,latakharut,לתחרות
physiology,fiziologia,פיזיולוגיה
contain (m.pl.),mekhilim,מכילים
at temperatures,betemperaturot,בטמפרטורות
courting / reduction (chemistry),khizur,חיזור
I went down / I came down / I descended,yaradeti,ירדתי
in my possession / at my place / near me,etsli,אצלי
all of us,kulanu,כולנו
to a building / for the building of,lebinyan,לבנין
and so,veko,וכה
thither [hither and thither],vakho,וכה
diarrhea / earthworm,shilshul,שלשול
plums,shezifim,שזיפים
its branches,anafav,ענפיו
to propose / to suggest / to offer,lehatsi'a,להציע
in the sun,bashemesh,בשמש
in peace,beshalom,בשלום
queen of,malkat,מלכת
from where,me'ayin,מאין
industry / manufacture,kharoshet,חרושת
sweet (m.s.),matok,מתוק
into her/it,letokha,לתוכה
nozzle / mouthpiece,piya,פיה
fairy,feya,פיה
lead,oferet,עופרת
noted / marked / pointed out (pl.),tsiyenu,ציינו
was signed,nekhtam,נחתם
to notify,lehodi'a,להודיע
and he will say,veyomar,ויאמר
and he shall say / and he said (biblical),va'yomer,ויאמר
and will be said,veye'amer,ויאמר
the old (m.pl.),hayeshanim,הישנים
the sleeping (m.pl.),hayeshenim,הישנים
the recognition / the consciousness,hahakara,ההכרה
quite,has,הס
spoke / talked (pl.),dibru,דיברו
respectfully / with honor,bekhavod,בכבוד
attached / linked / adjacent (f.s.),tsmuda,צמודה
duration,meshekh,משך
pulled / attracted / withdrew,mashakh,משך
rest,menukha,מנוחה
deceased (f.s.),menokha,מנוחה
glass,zkhukhit,זכוכית
the seeds,hazra'im,הזרעים
the fearful / the anxious / the ultra-orthodox (m.pl.),hakharedim,החרדים
the clothes,habgadim,הבגדים
the good / the favors (f.pl.),hatovot,הטובות
in the things / in the matters / in the words / in the speech / in the things that were said,badvarim,בדברים
talked / negotiated,[ba] bidvarim,בדברים
succeed / successful (m.pl.),matslikhim,מצליחים
to the field,lasade,לשדה
to a field,lesade,לשדה
that/who gave (m.s.),shehe'enik,שהעניק
punishment,onesh,עונש
huge (m.s.),atsum,עצום
weak (m.s.),khalash,חלש
free (f.s.),khofshiyot,חופשיות
the news,hayedi'ot,הידיעות
the knowledge / the news,hayedi'a,הידיעה
the walkers of,holekhei,הולכי
pedestrians,holkhey [regel],הולכי
changed (m.s.),hishtana,השתנה
the black (m.pl.),hashkhorim,השחורים
the letters,ha'otiyot,האותיות
the humanism,ha'enoshiyut,האנושיות
the humane (f.pl.),ha'enoshiyot,האנושיות
the danger / the risk,hasakana,הסכנה
somewhat / slightly,bemiktsat,במקצת
chose / selected / voted (m.s.),bakhar,בחר
answered / agreed / was answered (m.s.),na'ana,נענה
drive / travel,nesi'a,נסיעה
servant / serves (m.s.),mesharet,משרת
detailed (m.s.),meforat,מפורט
from the country / from Israel,meha'arets,מהארץ
patient / taken care of / person who is taken care of (m.s.),metupal,מטופל
organized / settled (m.pl.),mesudarim,מסודרים
to decide / to overpower,lehakhri'a,להכריע
at the feet of,leraglei,לרגלי
at my feet / to/for my legs,leraglai,לרגלי
and since then,ume'az,ומאז
and to/for him / and he has / and he had,velo,ולו
even if,velu,ולו
and other (f.pl.) / and others (f.),ve'akherot,ואחרות
and started (pl.),vehekhelu,והחלו
sent (pl.),shalkhu,שלחו
ruled (f.s.),shalta,שלטה
that/who placed / that/who put (pl.),shesamu,ששמו
that/who went up / that/who climbed / that/who increased / who immigrated (pl.),she'alu,שעלו
that/who was named (f.s.),shekunta,שכונתה
hits / damages / offensive (m.s.),poge'a,פוגע
compromise / conciliation,pshara,פשרה
internal (f.s.),pnimit,פנימית
their work,avodatam,עבודתם
search,khipus,חיפוש
peasants / farmers,ikarim,איכרים
glowing / shining,zoher,זוהר
glow / shine,zohar,זוהר
his importance / its importance,khashivuto,חשיבותו
double,kaful,כפול
the early / the preliminary (f.pl.),hamukdamot,המוקדמות
perimeter/ circumference / scope,hekef,היקף
the bag / the case / the file / the portfolio,hatik,התיק
advanced / made a progress (m.s.),hitkadem,התקדם
the prayer,hatfila,התפילה
the conservative (f.s.),hashamranit,השמרנית
the important (f.s.),hakhashuva,החשובה
the villages,hakfarim,הכפרים
mountains,harim,הרים
lifted (m.s.),herim,הרים
the radio,haradio,הרדיו
that/who is called / that/who is summoned (f.s.),hanikret,הנקראת
their fate,goralam,גורלם
carrot,gezer,גזר
cut / ruled / concluded (m.s.),gazar,גזר
in sickness,bemakhala,במחלה
between him,beino,בינו
on Saturday,beshabat,בשבת
on the Saturday,bashabat,בשבת
in/with his body,begufo,בגופו
clearly / obviously / under inquiry,beverur,בבירור
by mistake,beta'ut,בטעות
colors,tsva'im,צבעים
painters,tsaba'im,צבעים
secret,sod,סוד
risk of,sakanat,סכנת
as a Caesar,kekeisar,כקיסר
communism,hakomunizm,הקומוניזם
the surrender,hakni'a,הכניעה
to a river,lenahar,לנהר
to the river,lanahar,לנהר
with a rope,bekhevel,בחבל
with the rope,bakhevel,בחבל
fired,piter,פיטר
clerks of / officials of,pkidei,פקידי
at her/its top / at her/its peak,besi'a,בשיאה
[at/on] the mountains,baharim,בהרים
withdrawal / retreat,nesiga,נסיגה
to coordinate,leta'em,לתאם
for the pass of / for the transfer of,leha'avarat,להעברת
economy,kalkala,כלכלה
the districts,hamekhozot,המחוזות
the empire,hakeysarut,הקיסרות
suffered (pl.),savlu,סבלו
counted / included (f.s.),manta,מנתה
to bridge / to mediate,legasher,לגשר
to the bridge,lagesher,לגשר
to a bridge,legesher,לגשר
and the city,veha'ir,והעיר
valiant / knightly,abiri,אבירי
assisted / helped (f.s.),siy'a,סייעה
balance (statement),ma'azan,מאזן
balances (m.s.),me'azen,מאזן
from the point of,minkudat,מנקודת
going / walking,lekhet,לכת
and the army,vehatsava,והצבא
and in the battle of,uvikrav,ובקרב
and in the battle,uvakrav,ובקרב
and among,uvkerev,ובקרב
that/who stayed (pl.),sheshahu,ששהו
survived (pl.),sardu,שרדו
the move / the step / the distance,hamahalakh,המהלך
the marine (m.s.),hayami,הימי
the Catholic,hakatolit,הקתולית
that/who stands / that/who is about to / that/who endures / that/who succeeds / that/who insists on (m.s.),ha'omed,העומד
in their hand / up to them,beyadam,בידם
navigation,nivut,ניווט
modern (m.s.),moderni,מודרני
most of them,marbitam,מרביתם
for pass / for transfer / for transit,lema'avar,למעבר
for the pass / for the transfer / for the transit,lama'avar,למעבר
to/for an operation / for a sale,lemivtsa,למבצע
to/for the operation / for the sale,lamivtsa,למבצע
and powers / and forces / and strengths,vekokhot,וכוחות
and gave (m.s.),venatan,ונתן
the former / the preceding,shekadam,שקדם
were divided,khulku,חולקו
end / remainder,akharit,אחרית
approximately a hundred,keme'a,כמאה
developments,hitpatkhuyot,התפתחויות
the aristocrats / the noble (m.pl.),ha'atsilim,האצילים
destruction / demolition,heres,הרס
in the press,ba'itonut,בעיתונות
reasons,sibot,סיבות
used (pl.) / exploited (pl.) / were saved / were roasted,nitslu,ניצלו
prolonged / continuous,memushakh,ממושך
complicated / complex / consist of / assembled (m.pl.),murkavim,מורכבים
commanders,mefakdim,מפקדים
censuses / musters,mifkadim,מפקדים
mixed / involved (m.pl.),me'oravim,מעורבים
from the moment [of],merega,מרגע
relations,yakhasim,יחסים
to/for a system / to/for an editorial board / to/for the system of / to/for the editorial board of,lema'arekhet,למערכת
to/for the system / to/for the editorial board,lama'arekhet,למערכת
to communicate,letaksher,לתקשר
to a condition/ to a provision,letnai,לתנאי
to the conditions of / to the provisions of,letna'ei,לתנאי
stages / phases / rungs,shlabim,שלבים
that/who acted / that/who operated (m.s.),shepa'al,שפעל
server / janitor,sharat,שרת
her existence / her survival / its holding / its fulfillment (f.s.),kiyuma,קיומה
power / force / intensity,otsma,עוצמה
some of them / their part / their share (f.pl.),khelkan,חלקן
was named,kuna,כונה
the complicated / the complex / that consists of / that is assembled (f.s.),hamurkevet,המורכבת
education,haskala,השכלה
recruitment,giyus,גיוס
was performed / was carried out (f.s.),buts'a,בוצעה
most of them (f.),ruban,רובן
first (f.pl.),rishonot,ראשונות
suffered (f.s.),savla,סבלה
version / phrased / style,nosakh,נוסח
professional (m.pl.),miktso'iyim,מקצועיים
to donate / to contribute,litrom,לתרום
